stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
33,0.5,20.0,111.73590780002996,,111.72631999989972,111.73590780002996,112.23675049981102,112.23675049981102,112.23675049981102,112.53632119996473,112.57504970021546,right,20.0,1,1,0.32244230015203357,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
34,0.5,20.0,112.585799400229,,112.57523139985278,112.585799400229,113.08633409999311,113.08633409999311,113.08633409999311,113.3860570997931,114.22832350013778,right,20.0,0,0,1.1379637001082301,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
35,0.5,20.0,114.23607760015875,,114.22843990009278,114.23607760015875,114.73645299999043,114.73645299999043,114.73645299999043,115.03628750005737,115.24011010024697,right,20.0,0,0,0.48786120023578405,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
36,0.5,20.0,115.2522191000171,,115.24020150024444,115.2522191000171,115.75272940006107,115.75272940006107,115.75272940006107,,116.02356449980289,right,20.0,0,0,0.2613422996364534,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
37,0.5,20.0,116.0355191999115,,116.0236733998172,116.0355191999115,116.53595389984548,116.53595389984548,116.53595389984548,116.83590609999374,117.04030120000243,left,-20.0,1,1,0.4950079000554979,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
38,0.5,20.0,117.05237640021369,,117.0403903000988,117.05237640021369,117.55243720021099,117.55243720021099,117.55243720021099,,117.62445859983563,left,-20.0,1,1,0.05823529977351427,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
39,0.5,20.0,117.63575530005619,,117.62457579979673,117.63575530005619,118.13635999988765,118.13635999988765,118.13635999988765,,118.40913760010153,right,20.0,0,0,0.27080939989537,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
40,0.5,20.0,118.4188001002185,,118.40926330024377,118.4188001002185,118.91907430021092,118.91907430021092,118.91907430021092,,119.04310890007764,left,-20.0,1,1,0.11611500009894371,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
41,0.5,20.0,119.05249110003933,,119.04320689989254,119.05249110003933,119.55262080021203,119.55262080021203,119.55262080021203,119.8526109000668,119.99205440003425,right,20.0,0,0,0.43069000029936433,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
42,0.5,20.0,120.00200399989262,,119.99215649999678,120.00200399989262,120.50256580021232,120.50256580021232,120.50256580021232,120.8023371999152,120.92370379995555,right,20.0,0,0,0.4069874999113381,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
43,0.5,20.0,120.93566300021484,,120.92382739996538,120.93566300021484,121.43603060021996,121.43603060021996,121.43603060021996,121.73589969985187,121.85815120022744,right,20.0,0,0,0.408347399905324,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
44,0.5,20.0,121.86900720000267,,121.85825290018693,121.86900720000267,122.36916529992595,122.36916529992595,122.36916529992595,122.66897240001708,122.84334459993988,right,20.0,1,1,0.4698993000201881,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
45,0.5,20.0,122.85234019998461,,122.84346840018407,122.85234019998461,123.35237170010805,123.35237170010805,123.35237170010805,123.65223059989512,123.70890920003876,left,-20.0,0,0,0.3526216996833682,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
46,0.5,20.0,123.71877470007166,,123.70903589995578,123.71877470007166,124.21878129988909,124.21878129988909,124.21878129988909,124.5187205998227,124.64065880002454,left,-20.0,0,0,0.4106270996853709,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
47,0.5,20.0,124.65196920000017,,124.64076100010425,124.65196920000017,125.15240520006046,125.15240520006046,125.15240520006046,125.45270199980587,125.59131290018559,right,20.0,1,1,0.42224529990926385,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
48,0.5,20.0,125.60180020006374,,125.59140710020438,125.60180020006374,126.10235590022057,126.10235590022057,126.10235590022057,,126.14205410005525,left,-20.0,1,1,0.03508770000189543,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
49,0.5,20.0,126.1519741001539,,126.14214169979095,126.1519741001539,126.65307160001248,126.65307160001248,126.65307160001248,,126.79056670004502,right,20.0,0,0,None,310954,001,2024-08-22_23h53.56.988,adaptive_staircase,2024.1.5,None,2024-08-22 23h54.03.798011 +0530,
